"filename", "language", "Properties", "Groovy", "XML", "JSON", "YAML", "Dart", "Markdown", "HTML", "C++", "Swift", "comment", "blank", "total"
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\SearchUsers.dart", "Dart", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 19, 7, 130
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\data.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, 3, 14
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\firebase_api.dart", "Dart", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 11, 20, 134
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\users.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 2, 73
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\utils.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\CustomDrawer.dart", "Dart", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 1, 4, 104
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LaguageSelector.dart", "Dart", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 6, 13, 309
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LanguagesList.dart", "Dart", 0, 0, 0, 0, 0, 637, 0, 0, 0, 0, 0, 1, 638
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\OrDIvider.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Translator.dart", "Dart", 0, 0, 0, 0, 0, 262, 0, 0, 0, 0, 2, 15, 279
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\microsoft_translate_request.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 26
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\profileInfo.dart", "Dart", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 8, 6, 115
"c:\Programovanie\Flutter\Projects\GiulioTranslator\pubspec.yaml", "YAML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 40, 21, 91
"c:\Programovanie\Flutter\Projects\GiulioTranslator\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 15, 5, 46
"c:\Programovanie\Flutter\Projects\GiulioTranslator\web\manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 9, 85, 134, 223, 30, 3472, 13, 26, 1, 12, 412, 331, 4748
