"filename", "language", "Dart", "YAML", "Properties", "Markdown", "JSON", "Groovy", "HTML", "C++", "Swift", "XML", "comment", "blank", "total"
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\MessagesWidget.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\Message.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\User.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NewMessageWidget.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatPage.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatsPage.dart", "Dart", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ProfieHeaderWIdget.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\SearchUsers.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 109
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\data.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 14
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\firebase_api.dart", "Dart", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 134
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\users.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 2, 73
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\utils.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\CustomDrawer.dart", "Dart", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 104
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LaguageSelector.dart", "Dart", 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 311
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LanguagesList.dart", "Dart", 637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 638
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\OrDIvider.dart", "Dart", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\ProfileInfo.dart", "Dart", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 115
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Translator.dart", "Dart", 262, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15, 279
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\microsoft_translate_request.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 26
"c:\Programovanie\Flutter\Projects\GiulioTranslator\pubspec.yaml", "YAML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 40, 21, 91
"c:\Programovanie\Flutter\Projects\GiulioTranslator\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 15, 5, 46
"c:\Programovanie\Flutter\Projects\GiulioTranslator\web\manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 3322, 30, 9, 13, 223, 85, 26, 1, 12, 134, 386, 322, 4563
