"filename", "language", "YAML", "Dart", "Markdown", "JSON", "HTML", "C++", "XML", "Swift", "Groovy", "Properties", "Zip", "comment", "blank", "total"
"c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\TranslationsModel.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\authentication_service.dart", "Dart", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 179
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\main.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 88
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\providers\language_selector_provider.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 99
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\providers\translate_text_provider.dart", "Dart", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 72
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\ChatScreen.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84, 5, 167
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\EditProfile.dart", "Dart", 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 250
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\HomeScreen.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 111
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\RegisterScreen.dart", "Dart", 0, 400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 418
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\SavedTranslations.dart", "Dart", 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 126
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\SignInScreen.dart", "Dart", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 242
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ChatBodyWidget.dart", "Dart", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 9, 154
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ChatHeaderWidget.dart", "Dart", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 164
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Location.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\MessageWidget.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 64
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\MessagesWidget.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\ChatRoom.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\Message.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\User.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 72
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NearbyUsers.dart", "Dart", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 175
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NewMessageWidget.dart", "Dart", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 160
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatPage.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatsPage.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 56
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ProfieHeaderWIdget.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\RequestsWidget.dart", "Dart", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 127
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\SearchUsers.dart", "Dart", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 11, 171
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\data.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\firebase_api.dart", "Dart", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 97
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\users.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 2, 73
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\utils.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\CustomDrawer.dart", "Dart", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 4, 153
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LaguageSelector.dart", "Dart", 0, 369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 389
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LanguagesList.dart", "Dart", 0, 637, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 638
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\OrDIvider.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Translator.dart", "Dart", 0, 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 331
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\microsoft_translate_request.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 26
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\profileInfo.dart", "Dart", 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 140
"c:\Programovanie\Flutter\Projects\GiulioTranslator\pubspec.yaml", "YAML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 22, 98
"c:\Programovanie\Flutter\Projects\GiulioTranslator\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\web\index.html", "HTML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 15, 5, 46
"c:\Programovanie\Flutter\Projects\GiulioTranslator\web\manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 38, 4461, 13, 223, 26, 1, 150, 12, 85, 9, 12527, 452, 442, 18439
