"filename", "language", "Groovy", "comment", "blank", "total"
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\build.gradle", "Groovy", 18, 0, 4, 22
"Total", "-", 18, 0, 4, 22
